appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,positive_ratings,negative_ratings,price,link,imglink,desc
1028850,Baldina's Basis in Education Literary Grammar,"29 Jul, 2019",1,Kourov Vyacheslav,N/A,windows,0,Single-player;Steam Achievements;Profile Features Limited,Adventure;Indie;Strategy,Indie;Adventure;Strategy;Horror,22,5,0,https://store.steampowered.com/app/1028850/Baldinas_Basis_in_Education_Literary_Grammar/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1028850/header.jpg?t=1564394868,Do you like reading the books of great writers? How many books have you read in school over the past year? Baldina is a teacher who makes you love books the way she loves them!
1022320,Crypto Crisis: Education Edition,"18 Feb, 2019",1,Armoured Beans,N/A,windows;linux;mac,0,Single-player;Profile Features Limited,Indie;Simulation;Strategy,Strategy;Indie;Simulation,2,0,0,https://store.steampowered.com/app/1022320/Crypto_Crisis_Education_Edition/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1022320/header.jpg?t=1647215440,Let's help Principal Trotter and technology teacher Kieran build the school of the future. The Education Edition is a simplified and easier to play version of the original Crypto Crisis that has been designed for a younger audience and more casual players.
1032530,CrashCourse: Concussion Education Reimagined,Coming soon,1,TeachAids,N/A,windows,0,Single-player;Tracked Controller Support;VR Only;Profile Features Limited,Action;Free to Play;Simulation;Sports;Early Access,Free to Play;Early Access;Simulation;Sports;Action;VR,0,0,0,https://store.steampowered.com/app/1032530/CrashCourse_Concussion_Education_Reimagined/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1032530/header.jpg?t=1551254925,CrashCourse is concussion education reimagined for today's generation. This interactive 360 experience brings you directly onto the field during a high school football game and features star football players that share the latest medical knowledge on the prevention and treatment of concussions.
1261880,Education,"23 Apr, 2020",1,Tonguç Bodur,Tonguç Bodur,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Profile Features Limited,Adventure,Adventure;Gore;Violent;Nudity;Horror;Puzzle;First-Person;Exploration;Atmospheric;Dark;Mystery;Psychological Horror;Narration;Singleplayer;Short;Indie;Walking Simulator;Hidden Object;3D;Realistic,85,52,0,https://store.steampowered.com/app/1261880/Education/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1261880/header.jpg?t=1683140886,"Having done some terrible things in his youth at school, his memories call Bart Blake back to that place, in his nightmares."
923880,Educator 2076: Basics in Education,"16 Nov, 2018",1,Play The Most,N/A,windows,0,Single-player;Profile Features Limited,Adventure;Indie;Simulation,Adventure;Indie;Simulation;Cyberpunk,13,6,0,https://store.steampowered.com/app/923880/Educator_2076_Basics_in_Education/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/923880/header.jpg?t=1583485698,"Welcome to the most modern school, where all classes are improved and a new education system has been introduced."
1190000,Car Mechanic Simulator 2021,"11 Aug, 2021",1,Red Dot Games,PlayWay S.A.,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Includes level editor,Racing;Simulation,Simulation;Automobile Sim;Sandbox;Realistic;Racing;Moddable;Driving;3D;Education;Immersive Sim;First-Person;Singleplayer;Puzzle;Open World;Atmospheric;Adventure;Minigames;Indie;Strategy;Great Soundtrack,20015,834,765.0,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1190000/header.jpg?t=1693488420,Work your way to a service empire. Get your hands dirty in a highly realistic simulation game that pays major attention to details. Pay a visit to a new Auction house and buy cars in various conditions. Expand your range of services by investing in a new work space and equipment.
1485370,Futuclass Education,"23 Jan, 2021",1,Futuclass,N/A,windows,0,Single-player;Tracked Controller Support;VR Only;Profile Features Limited,Simulation;Early Access,Simulation;Indie;VR;Puzzle;Physics;Sandbox;Casual;Education;Science;Logic;6DOF;Early Access;Singleplayer;Free to Play;Adventure;Sci-fi;Space;Exploration,7,0,0,https://store.steampowered.com/app/1485370/Futuclass_Education/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1485370/header.jpg?t=1685030647,"** 5 chemistry modules available for $7.99 each. 10+ modules available for schools. To access school content, get Futuclass through Steam PC Café ** Learn Chemistry through gamified experiences in VR! Co-created with award-winning science teachers, tested with students in classroom and at home."
1158310,Crusader Kings III,"1 Sep, 2020",1,Paradox Development Studio,Paradox Interactive,windows;linux;mac,12,Single-player;Online PvP;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Remote Play on Tablet,RPG;Simulation;Strategy,Strategy;Simulation;RPG;Grand Strategy;Medieval;Historical;Management;RTS;Character Customization;Life Sim;Sandbox;4X;Singleplayer;Choices Matter;War;Economy;Moddable;Political;Multiplayer;Real-Time with Pause,62481,5433,0,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1158310/header.jpg?t=1692714098,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages."
255710,Cities: Skylines,"10 Mar, 2015",1,Colossal Order Ltd.,Paradox Interactive,windows;linux;mac,3,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor;Remote Play on Tablet,Simulation;Strategy,City Builder;Simulation;Building;Management;Strategy;Sandbox;Singleplayer;Moddable;Economy;Resource Management;Mod;Realistic;Replay Value;Casual;Modern;Real-Time with Pause;Family Friendly;Great Soundtrack;Funny;Action,178437,13431,0,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/255710/header.jpg?t=1692879552,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.
1160420,EducationXR,"8 Sep, 2020",1,Heizenrader LLC,N/A,windows,0,Single-player;Online PvP;Tracked Controller Support;VR Only;Profile Features Limited,Simulation,Simulation;Education;VR,5,0,0,https://store.steampowered.com/app/1160420/EducationXR/?snr=1_7_7_151_150_1,https://cdn.akamai.steamstatic.com/steam/apps/1160420/header.jpg?t=1675294156,"EducationXR is an immersive VR, mobile and desktop learning platform focused on training and education. It's core concept is multi device support: Build once, deploy anywhere. Share lessons through our proctoring multiplayer services across devices or go through courses individually."
